ID,Name,Predicted Value,Dataset,Position
263495,Vitor Eudes,1103500.0,Training,GK
226753,A. Onana,29687300.0,Training,GK
276408,F. Pruhs,268650.0,Training,GK
269971,A. Posiadała,1799000.0,Training,GK
262862,P. Loretz,3675000.0,Training,GK
277763,Ş. Öztürk,91300.0,Training,GK
236649,Y. van Osch,898750.0,Training,GK
279508,T. de Graaff,500000.0,Training,GK
272370,T. Riveros,920250.0,Training,GK
269613,R. Luthra,229600.0,Training,GK
271150,K. van Oevelen,300000.0,Training,GK
233088,G. Rehak,553000.0,Training,GK
192593,D. Subašić,71800.0,Training,GK
224348,L. Hoyos,361690.0,Training,GK
5479,Casillas,1755150.0,Training,GK
240311,L. Zidane,1783800.0,Training,GK
187363,J. González,1086750.0,Training,GK
186569,S. Ulreich,896750.0,Training,GK
271069,E. Al Nasser,89800.0,Training,GK
268544,M. Cooper,1111500.0,Training,GK
271089,M. Tepe,748250.0,Training,GK
264851,O. Mason,178400.0,Training,GK
135377,Jefferson,3467000.0,Training,GK
272707,J. Copland,120500.0,Training,GK
267787,A. Marcucci,152600.0,Training,GK
277888,F. Gomes Gerth,499750.0,Training,GK
265471,G. Gambetta,670500.0,Training,GK
53388,A. Chamberlain,138500.0,Training,GK
230312,Gabri Prestão,7927350.0,Training,GK
268764,D. Hundertmark,111800.0,Training,GK
261371,J. Ward,693250.0,Training,GK
271217,H. Christy,521000.0,Training,GK
262305,Chanza,496000.0,Training,GK
275474,Liu Jun,16900.0,Training,GK
278972,W. Koptas,168800.0,Training,GK
274354,M. Kustosz,179400.0,Training,GK
253442,F. de Keijzer,1119250.0,Training,GK
276872,E. Crombez,448750.0,Training,GK
261292,M. Trige,272150.0,Training,GK
239035,G. Collao,509750.0,Training,GK
201354,R. Marcone,345750.0,Training,GK
262019,K. Cooke,110000.0,Training,GK
276514,S. Ube,246050.0,Training,GK
238181,A. García,135300.0,Training,GK
199987,J. Cillessen,1901500.0,Training,GK
222095,C. Burton,333000.0,Training,GK
279359,A. Baedas,250800.0,Training,GK
270499,F. Manfrin,374750.0,Training,GK
273705,R. Rodríguez,2559000.0,Training,GK
277195,A. Courel,499750.0,Training,GK
278323,P. Allocca,296400.0,Training,GK
263430,V. Santos,93500.0,Training,GK
272501,A. Hermansen,209800.0,Training,GK
268518,M. Bernatene,648750.0,Training,GK
262688,K. Bartoszek,168500.0,Training,GK
240920,F. Al Habib,226000.0,Training,GK
270069,Rodrigo Moura,1371500.0,Training,GK
189324,A. McCarthy,319200.0,Training,GK
269833,S. Kolbe,525500.0,Training,GK
272395,Jesús López,523750.0,Training,GK
219637,Cantero,1619250.0,Training,GK
261814,A. Sünger,262100.0,Training,GK
246417,A. Patterson,3935200.0,Training,GK
226300,U. Çakır,10291150.0,Training,GK
270640,J. Peitzmeier,250350.0,Training,GK
262599,J. Schuurman,400000.0,Training,GK
229288,R. de Boer,903250.0,Training,GK
264871,K. Bonnevie,651750.0,Training,GK
277721,Teng Hui,93400.0,Training,GK
277050,Saldaña,650750.0,Training,GK
263867,A. Al Sanbi,325250.0,Training,GK
270672,A. Arda,134100.0,Training,GK
213413,L. Vigouroux,1072750.0,Training,GK
265440,F. Böhmker,303000.0,Training,GK
269480,Ran Weifeng,79700.0,Training,GK
273942,H. Trent,141000.0,Training,GK
263070,G. De Nitti,250750.0,Training,GK
272854,João Bravim,369000.0,Training,GK
262530,A. Thomas,303150.0,Training,GK
267521,M. Bova,487000.0,Training,GK
277136,A. Ossongo,232350.0,Training,GK
277290,J. Busse,347250.0,Training,GK
210257,Ederson,55750000.0,Training,GK
264068,E. Cox,347250.0,Training,GK
270019,M. Onken,326750.0,Training,GK
243710,G. Innocent,532750.0,Training,GK
242084,Carlos Coronel,2240250.0,Training,GK
278241,C. Robson,137700.0,Training,GK
267734,Y. Boyar,149000.0,Training,GK
269526,Deng Xiongtao,90200.0,Training,GK
227477,F. Altamirano,2166000.0,Training,GK
271328,M. Al Dawsari,98440.0,Training,GK
236571,M. Paes,2277000.0,Training,GK
273083,M. Soria,663000.0,Training,GK
264184,Aritz de Miguel,436250.0,Training,GK
264817,E. Hadaya,246700.0,Training,GK
262295,I. Vekič,705500.0,Training,GK
277189,J. Otero,249700.0,Training,GK
267917,W. Tortolero,422000.0,Training,GK
272335,K. Boets,324750.0,Training,GK
269715,L. Øy,300000.0,Training,GK
274648,G. Napa,1195650.0,Training,GK
106573,Victor Valdés,10760800.0,Training,GK
275791,M. Akşit,147800.0,Training,GK
278139,R. Frutos,397000.0,Training,GK
73554,H. Hermann,170600.0,Training,GK
268111,T. Renkel,240800.0,Training,GK
278961,G. Pedley,89400.0,Training,GK
269196,M. Anchor,129900.0,Training,GK
264636,T. Jackson,122500.0,Training,GK
273688,A. Bareiro,326800.0,Training,GK
210019,L. Raeder,354750.0,Training,GK
263673,Andrew,9165000.0,Training,GK
261499,Ž. Frelih,1131500.0,Training,GK
276427,C. Michel,343000.0,Training,GK
48940,P. Čech,4199500.0,Training,GK
205122,Adriano Facchini,445300.0,Training,GK
274092,J. van der Mark,299400.0,Training,GK
179547,V. Mannone,259200.0,Training,GK
275143,S. Amasifuén,469500.0,Training,GK
277826,Ale Gorrín,275000.0,Training,GK
269121,T. Roche,383000.0,Training,GK
264754,C. Romero,427500.0,Training,GK
270003,N. De Mol,325000.0,Training,GK
194911,Adrián,175700.0,Training,GK
274688,D. Folan,110000.0,Training,GK
275624,D. Dilmen,1207000.0,Training,GK
214462,I. Arboleda,2025000.0,Training,GK
279230,G. Salvati,161800.0,Training,GK
275631,K. Radulovic,158400.0,Training,GK
263907,T. Cann,151500.0,Training,GK
274104,K. Hegyi,273250.0,Training,GK
264643,G. Cörüt,276000.0,Training,GK
270960,B. van der Hoek,280750.0,Training,GK
275060,P. Jensen,219800.0,Training,GK
275734,T. Zesiger,251000.0,Training,GK
272336,M. Lendfers,275500.0,Training,GK
277802,E. Motta,500750.0,Training,GK
215069,R. Rey,2258000.0,Training,GK
266547,T. Chesneau,272500.0,Training,GK
268296,K. Kiilerich,374500.0,Training,GK
205480,M. Krakowiak,176150.0,Training,GK
278148,M. Avella,272200.0,Training,GK
268580,H. Gustafsson,249650.0,Training,GK
273889,T. Smith,325000.0,Training,GK
278474,L. Lavagnino,838500.0,Training,GK
242382,L. Ashby-Hammond,400750.0,Training,GK
271860,E. Mahmutovic,396600.0,Training,GK
261928,Yu Jinyong,58600.0,Training,GK
179783,R. Fährmann,177950.0,Training,GK
1179,G. Buffon,1628000.0,Training,GK
263052,Z. Oualah,179900.0,Training,GK
261703,Á. González,444250.0,Training,GK
217096,J. Lumley,1052250.0,Training,GK
275715,M. Mazzeo,270850.0,Training,GK
262999,L. Becker,229500.0,Training,GK
267285,E. Dederick,2594250.0,Training,GK
262417,Daniel Figueira,2638250.0,Training,GK
272370,T. Riveros,920250.0,Training,GK
167628,S. Ruffier,4795750.0,Training,GK
277208,J. Van Hof,210000.0,Training,GK
242073,J. Blázquez,1631000.0,Training,GK
262007,T. Smith,91300.0,Training,GK
275354,N. Alavoine,303100.0,Training,GK
230323,Kaíquão Castro,3829000.0,Training,GK
279424,C. Aldegrisa,857150.0,Training,GK
276031,L. Thomas,250100.0,Training,GK
261964,Pang Jiajun,61800.0,Training,GK
269146,Álex Primo,500250.0,Training,GK
265513,E. Breviglieri,250650.0,Training,GK
268575,L. Bolletta,219800.0,Training,GK
261527,J. Gil,325500.0,Training,GK
188836,J. Steele,1490680.0,Training,GK
222561,S. John Linnet,83100.0,Training,GK
234328,Kim Hyeong Geun,73340.0,Training,GK
263027,R. Shimonaka,232800.0,Training,GK
263462,F. Cristóforo,112450.0,Training,GK
267736,L. Healy,134200.0,Training,GK
272061,Paola Ulloa,422300.0,Training,GK
275607,J. Bielecki,379550.0,Training,GK
262424,S. Mogoșanu,168100.0,Training,GK
276138,B. Buljan,677750.0,Training,GK
261656,C. Mizell,76900.0,Training,GK
271697,M. Ugboh,325750.0,Training,GK
235141,P. Menzel,1305000.0,Training,GK
264748,V. Dryselius,250000.0,Training,GK
238013,Jandrei,1646250.0,Training,GK
266372,J. Garces,177700.0,Training,GK
269269,J. Golz,1382500.0,Training,GK
263689,A. Lastra,723750.0,Training,GK
277916,L. Gavran,700000.0,Training,GK
241671,D. Livaković,15883000.0,Training,GK
278841,L. Garzón,1406150.0,Training,GK
277977,G. Ursu,170300.0,Training,GK
251136,H. Moldovan,2474300.0,Training,GK
270998,Matheus Brandão,241550.0,Training,GK
268593,C. Tapia,474250.0,Training,GK
277830,Nono Gómez,440750.0,Training,GK
248221,Mu Pengfei,30990.0,Training,GK
271186,Ș. Tomache,130000.0,Training,GK
210385,Rui Silva,15954300.0,Training,GK
262654,B. Jenciragic,643500.0,Training,GK
279584,S. Poonia,136900.0,Training,GK
275032,N. Mićović,448000.0,Training,GK
266358,K. Pirić,563000.0,Training,GK
267212,P. Tullis-Joyce,1223500.0,Training,GK
271335,R. Falchou,356500.0,Training,GK
279706,D. Ferree,210000.0,Training,GK
211515,P. Gollini,6017400.0,Training,GK
263569,G. Quilichini,760000.0,Training,GK
11824,A. Warrington,13100.0,Training,GK
258989,Guo Tong,78300.0,Training,GK
277207,O. Annell,250750.0,Training,GK
276426,Vinícius Dias,592000.0,Training,GK
263699,J. Sveinhaug,250000.0,Training,GK
209981,Y. Bounou,12727000.0,Training,GK
236613,L. Grill,1356500.0,Training,GK
272720,T. Holtam,89800.0,Training,GK
241525,T. Ashby-Hammond,626500.0,Training,GK
270495,M. Mijatović,143450.0,Training,GK
271551,R. Greensall,147500.0,Training,GK
263238,S. Niazmand,1149500.0,Training,GK
262427,M. Enache,190600.0,Training,GK
277284,A. Yanar,295450.0,Training,GK
268979,M. Abunada,214250.0,Training,GK
198513,Cláudio Ramos,1623000.0,Training,GK
279287,J. Acuria,1625000.0,Training,GK
137832,Diego Cavalieri,1217000.0,Training,GK
278836,P. Diestel,195400.0,Training,GK
268413,M. Ree,473500.0,Training,GK
263096,J. Holden,142000.0,Training,GK
243585,G. Bazunu,5886000.0,Training,GK
271442,Lluc Matas,752250.0,Training,GK
263373,J. Searle,129000.0,Training,GK
187218,M. Jiménez,489250.0,Training,GK
238181,A. García,135300.0,Training,GK
235073,G. Kobel,76395000.0,Training,GK
261964,Pang Jiajun,61800.0,Training,GK
279780,M. Šahinović,500500.0,Training,GK
259596,J. Keeley,307750.0,Training,GK
203841,N. Pope,18116300.0,Training,GK
279725,K. Arıcan,268150.0,Training,GK
253428,V. Jaroš,2243000.0,Training,GK
271635,A. Al Shuhayb,90700.0,Training,GK
224041,M. Schwäbe,8229000.0,Training,GK
261014,A. Desábato,434990.0,Training,GK
263423,Q. Galvez-Diarra,477500.0,Training,GK
265828,I. Quispe,682250.0,Training,GK
271554,T. Leitis,110000.0,Training,GK
275673,Xu Zhenyao,110000.0,Training,GK
193698,O. Baumann,6468000.0,Training,GK
275325,T. Martinelli,994000.0,Training,GK
267946,Lim Jun Sub,62000.0,Training,GK
268363,A. Yilmuz,279650.0,Training,GK
271490,Javi Garrido,465950.0,Training,GK
262725,R. Began,146100.0,Training,GK
279262,A. Estacio Paz,2109250.0,Training,GK
263368,M. Contra,178000.0,Training,GK
261144,I. Nevistić,2166500.0,Training,GK
277783,Fan Jinming,35830.0,Training,GK
198040,E. Alvarado,597000.0,Training,GK
262420,R. Popa,1392500.0,Training,GK
222562,R. Rúnarsson,1420500.0,Training,GK
267576,Quintela,485250.0,Training,GK
237176,R. Schofield,427250.0,Training,GK
199321,T. Holý,184300.0,Training,GK
265254,B. Spencer,625290.0,Training,GK
238060,N. Trott,2245250.0,Training,GK
243675,K. Scherpen,3374000.0,Training,GK
272043,C. Pérez,246230.0,Training,GK
271164,R. Gal,225500.0,Training,GK
263234,Pedro Teixeira,702750.0,Training,GK
202469,D. Bingham,125000.0,Training,GK
279634,S. Proctor,128500.0,Training,GK
278940,S. Rodríguez,350500.0,Training,GK
261253,G. Araúz,364750.0,Training,GK
220932,L. Kalinić,195450.0,Training,GK
268799,H. Gedő,200000.0,Training,GK
270921,A. Picornell,375000.0,Training,GK
271428,J. Nielsen,241600.0,Training,GK
265270,F. Bentley,3652700.0,Training,GK
274469,D. Kucher,255700.0,Training,GK
259085,F. Tapia,698000.0,Training,GK
267461,L. Grimpe,199500.0,Training,GK
264635,K. Fukaya,205900.0,Training,GK
269546,Wu Fei,35360.0,Training,GK
261472,G. Breeze,300750.0,Training,GK
250753,A. Trubin,28057300.0,Training,GK
215132,S. Moyano,639350.0,Training,GK
279234,Jhafets,437750.0,Training,GK
246158,M. Hermansen,12455200.0,Training,GK
262707,L. Klußmann,300000.0,Training,GK
266265,S. Selin,350250.0,Training,GK
203042,J. Butland,5510500.0,Training,GK
279929,I. Sjong,267500.0,Training,GK
276041,L. Wechsel,474500.0,Training,GK
271764,J. Koorevaar,324250.0,Training,GK
273778,T. Goller,374750.0,Training,GK
142902,A. Piatov,675680.0,Training,GK
263057,T. Silić,703750.0,Training,GK
245866,L. Pelletier,322000.0,Training,GK
269948,T. Booth,300000.0,Training,GK
271211,J. Yılmaz,372750.0,Training,GK
273765,J. Strumia,474000.0,Training,GK
262931,T. Ernst,2755000.0,Training,GK
278094,J. Bengui,509500.0,Training,GK
269012,Tang Jianian,77900.0,Training,GK
262325,R. Byrne,275750.0,Training,GK
265763,M. Braune,754750.0,Training,GK
262742,Ramón Juan,929300.0,Training,GK
260796,K. Morton,131300.0,Training,GK
139062,W. Caballero,188050.0,Training,GK
244316,Luís Maximiano,7169500.0,Training,GK
142333,M. McNulty,29650.0,Training,GK
269754,A. Sæther,242100.0,Training,GK
225331,D. Henry,135100.0,Training,GK
265242,M. Zinsberger,12827000.0,Training,GK
271488,Adrián González,653000.0,Training,GK
278331,L. Nava,473500.0,Training,GK
240913,C. Kelleher,13915000.0,Training,GK
228789,Robert Sánchez,15550500.0,Training,GK
271957,H. Idasiak,250700.0,Training,GK
239019,J. Delianov,644000.0,Training,GK
269232,S. Karssies,445850.0,Training,GK
273654,V. Cozzella,400250.0,Training,GK
277810,A. Bedfian,1012000.0,Training,GK
222900,W. Hahn,695000.0,Training,GK
261163,A. Arias,130100.0,Training,GK
262931,T. Ernst,2755000.0,Training,GK
263441,L. Bonelli,384350.0,Training,GK
215698,M. Maignan,61525000.0,Training,GK
268105,I. Kort,523500.0,Training,GK
52679,J. Murphy,27700.0,Training,GK
262624,N. Michael,562750.0,Training,GK
270660,S. MacDonald,195550.0,Training,GK
278164,K. Gabbidon,141100.0,Training,GK
239993,A. Romero,327950.0,Training,GK
277323,S. Hornung,552000.0,Training,GK
277559,V. Bekaj,603500.0,Training,GK
265780,Tiago Martins,475000.0,Training,GK
269301,N. Kristof,1580250.0,Training,GK
278440,N. Durán,421500.0,Training,GK
263880,Agirrezabala,16639700.0,Training,GK
251996,Raphael Aflalo,774500.0,Training,GK
276087,D. Stamatakis,523000.0,Training,GK
177683,Y. Sommer,21373000.0,Training,GK
234642,É. Mendy,11174000.0,Training,GK
279279,B. Arcilado,660250.0,Training,GK
238186,M. Bułka,21375000.0,Training,GK
267599,P. Beach,278100.0,Training,GK
248158,G. Slonina,2519000.0,Training,GK
230631,M. Festa,528950.0,Training,GK
230621,G. Donnarumma,81995000.0,Training,GK
255159,M. Sündermann,239700.0,Training,GK
262814,P. Lervik,325500.0,Training,GK
231028,M. Šarkić,1309000.0,Training,GK
270106,L. Mack,300000.0,Training,GK
262846,Ș. Dobre,244150.0,Training,GK
276328,E. Höftmann,295000.0,Training,GK
212710,Joel Pereira,861750.0,Training,GK
273805,S. Micu,207300.0,Training,GK
275856,N. Bakker,912000.0,Training,GK
263727,F. Kramarz,250000.0,Training,GK
223952,David Soria,13287000.0,Training,GK
273561,T. Baljoush,99400.0,Training,GK
271881,D. Held,210900.0,Training,GK
256161,M. Ramírez,3117750.0,Training,GK
263532,G. Gajardo,275750.0,Training,GK
51963,T. Warner,19780.0,Training,GK
256053,J. Pulskamp,964000.0,Training,GK
278042,F. Kotyrba,120700.0,Training,GK
267696,J. Briceño,636750.0,Training,GK
262309,Iker Piedra,847750.0,Training,GK
271171,L. Lord,475250.0,Training,GK
16254,T. Howard,272800.0,Training,GK
270038,J. Hammel,2675000.0,Training,GK
266750,Roh Hee Dong,79000.0,Training,GK
278787,E. Lima,377500.0,Training,GK
186189,S. Searle,38400.0,Training,GK
267215,B. Bixby,285700.0,Training,GK
276428,G. Didzilatis,318000.0,Training,GK
264048,E. Cabezas,641500.0,Training,GK
271333,T. Lo-Tutala,1774000.0,Training,GK
269834,M. Serbest,161600.0,Training,GK
264351,A. Bencze,919250.0,Training,GK
265760,N. Sorras,78900.0,Training,GK
263867,A. Al Sanbi,325250.0,Training,GK
259668,A. Pierre,475000.0,Training,GK
277814,G. Swiderski,552000.0,Training,GK
272235,Noelia Ramos,691150.0,Training,GK
263510,P. Prange,145000.0,Training,GK
269096,M. Weiß,1493950.0,Training,GK
243587,Fran Vieites,1780000.0,Training,GK
277588,K. Heide,732500.0,Training,GK
266621,Jeimes Menezes,924500.0,Training,GK
227186,A. Batalla,5873400.0,Training,GK
271744,F. Al Shammari,119700.0,Training,GK
72022,E. Jaouen,2027000.0,Training,GK
